Favored Team Cover,Favored Final Spread,Favored Team Rank,Spread,Fav Tempo,Fav ADJO,Fav ADJD,Fav O - PPP,Fav O - EFG%,Fav D - PPP,Fav D - EFG%,Underdog Team Rank,Underdog Tempo,Underdog ADJO,Underdog ADJD,Underdog O - PPP,Underdog O - EFG%,Underdog D - PPP,Underdog D - EFG%,Fav Court_H,Fav Court_N,Favored Team Predicted Win
0,-10,4,"Michigan St. -1.4, 75-74 (55%)",68.77647059,87.88941176,118.1788235,113.8917647,55.30705882,92.71529412,41.05058824,8,66.9,93.3,123.575,117.66,56.805,94.37,52.135,0,0,1.4
0,-4,4,"Michigan St. -17.0, 80-63 (94%)",67.91111111,90.08444444,116.8666667,112.4911111,54.75111111,96.54666667,42.98222222,60,68.64444444,96.49333333,100.7355556,92.74222222,44.71333333,99.54888889,48.17111111,1,0,17
0,-5,4,"Michigan St. -7.8, 79-72 (77%)",69.70526316,94.39789474,115.1757895,110.94,54.91157895,100.6778947,43.77684211,55,71.06315789,97.32947368,111.6421053,104.4136842,50.88526316,103.6652632,50.25263158,0,0,7.8
1,24,6,"Michigan St. -14.0, 81-67 (90%)",70.06,97.746,112.902,108.108,54.686,103.678,45.878,51,66.4,97.628,110.814,104.448,46.76,103.628,48.3,1,0,14
1,8,6,"Michigan St. -0.0, 66-65 (50%)",70.14285714,94.47428571,117.3552381,112.3885714,56.37619048,98.35047619,44.95047619,15,62.37142857,89.66095238,111.7942857,102.8304762,49.87809524,95.08380952,45.11809524,0,0,0
1,18,4,"Michigan St. -11.6, 75-64 (87%)",68.76363636,91.36,118.0454545,111.8545455,56.19454545,94.78,45.49454545,37,66.46666667,90.23142857,105.4733333,99.44,50.73619048,94.92380952,47.51047619,1,0,11.6
0,11,4,"Michigan St. -17.5, 79-61 (95%)",67.16521739,85.40521739,115.6834783,110.2565217,53.84173913,86.58608696,42.29130435,92,70.81818182,96.52363636,105.5945455,100.0890909,48.71818182,101.2890909,50.09090909,1,0,17.5
0,-3,5,"North Carolina -8.3, 82-74 (77%)",79.8,89.92,119.02,122.98,56.96,85.52,42.62,37,74.6,84.36,94.76,101.06,49.82,83.94,44.2,0,1,8.3
0,-8,7,"North Carolina -6.1, 91-85 (69%)",79.34285714,94.18285714,120.1057143,115.4285714,55.06857143,98.91714286,52.03428571,32,71.4,97.82857143,115.72,118.4142857,55.77714286,96.80857143,49.43428571,0,1,6.1
1,8,7,"North Carolina -0.4, 92-91 (51%)",77.58181818,84.27818182,112.3218182,110.1527273,51.52363636,84.65090909,42.96545455,24,75.03636364,98.33272727,116.1218182,122.0563636,59.92545455,92.32363636,49.09272727,0,0,0.4
0,-21,7,"North Carolina -12.8, 88-75 (86%)",79.1,85.47,113.72,109.78,51.84333333,87.83,44.68,40,70.73333333,102.1333333,114.6366667,111.4266667,51.18666667,104.6533333,52.69,1,0,12.8
1,9,12,"North Carolina -3.8, 82-78 (63%)",77.11428571,93.97428571,109.76,105.0342857,48.80571429,98.62,50.67714286,61,69.84615385,99.22,111.38,105.1292308,52.22307692,103.8738462,48.57692308,0,0,3.8
1,21,9,"North Carolina -4.6, 81-76 (66%)",74.08,97.496,112.5826667,108.3706667,50.668,101.5506667,52.57733333,11,63.45714286,97.83714286,115.6342857,112.7971429,55.03428571,100.8342857,52.62857143,1,0,4.6
1,10,9,"Louisville -2.4, 81-79 (59%)",75.31764706,92.75411765,121.7423529,116.7388235,58.20235294,95.55058824,49.05294118,12,70.35555556,89.34666667,113.5644444,111.52,54.12666667,90.52,44.11333333,0,0,2.4
1,17,7,"North Carolina -14.0, 91-78 (87%)",75.31111111,89.34444444,122.1111111,114.76,55.20888889,93.44666667,47.79555556,45,67.18947368,90.11789474,101.2894737,95.36736842,44.71894737,94.84526316,47.80736842,1,0,14
0,3,6,"North Carolina -16.7, 89-72 (92%)",76.87368421,90.52210526,122.4631579,115.0031579,54.75894737,94.95157895,47.88631579,59,66.8,91.40631579,102.9442105,97.42105263,48.54105263,97.95263158,51.00631579,1,0,16.7
1,18,5,"North Carolina -10.6, 87-77 (82%)",75.20869565,85.51391304,120.286087,111.5321739,55.52086957,93.15565217,47.99391304,19,70.50434783,89.13304348,114.7573913,110.0034783,53.49565217,89.17565217,44.93826087,1,0,10.6
0,8,4,"North Carolina -12.8, 81-68 (88%)",76.91666667,82.70666667,120.9233333,113.0616667,56.54666667,87.42,42.94833333,34,68.03333333,88.7,105.985,98.20666667,45.16166667,95.19,46.515,1,0,12.8
